Names: ,Devices: ,Streaming services: ,Average time: ,Satisfaction: 
Kevin,Laptop/DesktopTablet,Movies,3,8
Alice,Other,News,6,8
Bob,Smartphone,TVshows/series,2,8
Eve,Smart TV,Other,10,8
Charlie,Smart TV,Sports,10,8
Mallory,Laptop/DesktopTablet,TVshows/series,3,8
Trent,Smart TV,Sports,10,8
Peggy,Smart TV,Sports,6,8
Victor,Laptop/DesktopTablet,Sports,3,8
Walter,Smartphone,Movies,6,8
Yvonne,Other,Sports,0,8
Zara,Smart TV,TVshows/series,10,8
Quinn,Other,News,10,8
Riley,Laptop/DesktopTablet,Other,10,8
Sam,Smart TV,Other,2,8

Santiago,Laptop/Desktop,Sports,10,6
Henry,Smartphone,TV shows/series,6,10
Olivia,Laptop/Desktop,TV shows/series,3,7
Sarah,Smartphone,YouTube videos,0,5
Jack,Smart TV,Movies,0,6
Andrew,Laptop/Desktop,TV shows/series,10,8

Mac,Smartphone,TV shows/series,6,7
Kyan Fogarty,Smart TV,TV shows/series,6,7
Jordan Terrell Carter,Smartphone,Sports,3,8
Steven,Smart TV,News,2,6
Roman Williams,Smartphone,YouTube,10,7
